Year,Country,atc_level,Name,ddd,Percent
2000,Belgium,J01A,Tetracyclines,3.518,0.1451200817156254
2000,Belgium,J01B,Amphenicols,0.039,0.0015885711013165
2000,Belgium,J01C,"Beta-lactam antibacterials, penicillins",7.426,0.3063738501416432
2000,Belgium,J01D,Other beta-lactam antibacterials,4.372,0.1803601514855065
2000,Belgium,J01E,Sulfonamides and trimethoprim,0.596,0.0245742265530726
2000,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.788,0.1562669400203315
2000,Belgium,J01G,Aminoglycoside antibacterials,0.091,0.0037421224392589
2000,Belgium,J01M,Quinolone antibacterials,2.52,0.1039665548864292
2000,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2000,Belgium,J01X,Other antibacterials,1.891,0.0780075016568159
2001,Belgium,J01A,Tetracyclines,2.971,0.130968225245584
2001,Belgium,J01B,Amphenicols,0.036,0.0015777205747506
2001,Belgium,J01C,"Beta-lactam antibacterials, penicillins",7.226,0.3186227866328705
2001,Belgium,J01D,Other beta-lactam antibacterials,3.64,0.1604929419933701
2001,Belgium,J01E,Sulfonamides and trimethoprim,0.522,0.0230132902013278
2001,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.447,0.1519891251045548
2001,Belgium,J01G,Aminoglycoside antibacterials,0.085,0.0037271774539232
2001,Belgium,J01M,Quinolone antibacterials,2.881,0.1270056684616435
2001,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2001,Belgium,J01X,Other antibacterials,1.874,0.0826030643319753
2002,Belgium,J01A,Tetracyclines,2.665,0.1174791628333264
2002,Belgium,J01B,Amphenicols,0.031,0.0013472633886035
2002,Belgium,J01C,"Beta-lactam antibacterials, penicillins",7.415,0.3269076960773096
2002,Belgium,J01D,Other beta-lactam antibacterials,3.83,0.1688374781469293
2002,Belgium,J01E,Sulfonamides and trimethoprim,0.473,0.0208409807230882
2002,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.338,0.1471791444068375
2002,Belgium,J01G,Aminoglycoside antibacterials,0.083,0.0036158953181417
2002,Belgium,J01M,Quinolone antibacterials,2.954,0.130211386088649
2002,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2002,Belgium,J01X,Other antibacterials,1.896,0.0835809930171146
2003,Belgium,J01A,Tetracyclines,2.322,0.1028463300526313
2003,Belgium,J01B,Amphenicols,0.03,0.0013019952602287
2003,Belgium,J01C,"Beta-lactam antibacterials, penicillins",7.976,0.3532774750656146
2003,Belgium,J01D,Other beta-lactam antibacterials,3.719,0.164723728990969
2003,Belgium,J01E,Sulfonamides and trimethoprim,0.42,0.0185821695529783
2003,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.108,0.1376701075433999
2003,Belgium,J01G,Aminoglycoside antibacterials,0.088,0.0038564627411551
2003,Belgium,J01M,Quinolone antibacterials,3.009,0.1332706632113937
2003,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2003,Belgium,J01X,Other antibacterials,1.907,0.0844710675816291
2004,Belgium,J01A,Tetracyclines,2.077,0.0975682140463399
2004,Belgium,J01B,Amphenicols,0.025,0.0011499302447397
2004,Belgium,J01C,"Beta-lactam antibacterials, penicillins",8.07,0.3792406409381935
2004,Belgium,J01D,Other beta-lactam antibacterials,3.539,0.1662774038354443
2004,Belgium,J01E,Sulfonamides and trimethoprim,0.385,0.0180519639327285
2004,Belgium,J01F,"Macrolides, lincosamides and streptogramins",2.427,0.1140154263313865
2004,Belgium,J01G,Aminoglycoside antibacterials,0.084,0.0039436653078419
2004,Belgium,J01M,Quinolone antibacterials,2.718,0.1277266138946012
2004,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2004,Belgium,J01X,Other antibacterials,1.959,0.0920261414687244
2005,Belgium,J01A,Tetracyclines,1.973,0.089031633321429
2005,Belgium,J01B,Amphenicols,0.026,0.001135791434645
2005,Belgium,J01C,"Beta-lactam antibacterials, penicillins",8.811,0.3976263827479933
2005,Belgium,J01D,Other beta-lactam antibacterials,3.44,0.1552276125403181
2005,Belgium,J01E,Sulfonamides and trimethoprim,0.376,0.0169299538566112
2005,Belgium,J01F,"Macrolides, lincosamides and streptogramins",2.605,0.1175425889067306
2005,Belgium,J01G,Aminoglycoside antibacterials,0.077,0.0034325579493508
2005,Belgium,J01M,Quinolone antibacterials,2.724,0.1229253900204254
2005,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2005,Belgium,J01X,Other antibacterials,2.131,0.0961480892224964
2006,Belgium,J01A,Tetracyclines,0.021,0.0122998047744224
2006,Belgium,J01B,Amphenicols,0.002,0.0006117859283302
2006,Belgium,J01C,"Beta-lactam antibacterials, penicillins",0.742,0.4402870824753892
2006,Belgium,J01D,Other beta-lactam antibacterials,0.377,0.2231499557923844
2006,Belgium,J01E,Sulfonamides and trimethoprim,0.001,1.305459788871549e-05
2006,Belgium,J01F,"Macrolides, lincosamides and streptogramins",0.094,0.0553603959103505
2006,Belgium,J01G,Aminoglycoside antibacterials,0.058,0.0341039502026429
2006,Belgium,J01M,Quinolone antibacterials,0.254,0.1504554274490723
2006,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2006,Belgium,J01X,Other antibacterials,0.142,0.0837185428695193
2007,Belgium,J01A,Tetracyclines,1.973,0.088764929340883
2007,Belgium,J01B,Amphenicols,0.024,0.0010394215807639
2007,Belgium,J01C,"Beta-lactam antibacterials, penicillins",9.88,0.4444768777850688
2007,Belgium,J01D,Other beta-lactam antibacterials,2.722,0.1224341712037976
2007,Belgium,J01E,Sulfonamides and trimethoprim,0.001,3.149353359021559e-07
2007,Belgium,J01F,"Macrolides, lincosamides and streptogramins",2.723,0.1224990028922311
2007,Belgium,J01G,Aminoglycoside antibacterials,0.058,0.0025747763340492
2007,Belgium,J01M,Quinolone antibacterials,2.512,0.1129940295008927
2007,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2007,Belgium,J01X,Other antibacterials,2.339,0.1052164764269776
2008,Belgium,J01A,Tetracyclines,2.213,0.0929842517765404
2008,Belgium,J01B,Amphenicols,0.021,0.0008712677517441
2008,Belgium,J01C,"Beta-lactam antibacterials, penicillins",11.155,0.4688606265830819
2008,Belgium,J01D,Other beta-lactam antibacterials,2.353,0.0988873345881696
2008,Belgium,J01E,Sulfonamides and trimethoprim,0.001,4.2033372816681536e-08
2008,Belgium,J01F,"Macrolides, lincosamides and streptogramins",2.897,0.1217364658844536
2008,Belgium,J01G,Aminoglycoside antibacterials,0.049,0.0020449235875315
2008,Belgium,J01M,Quinolone antibacterials,2.632,0.110596949554068
2008,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2008,Belgium,J01X,Other antibacterials,2.475,0.1040181382410379
2009,Belgium,J01A,Tetracyclines,2.164,0.0903730527181118
2009,Belgium,J01B,Amphenicols,0.024,0.0009920726088543
2009,Belgium,J01C,"Beta-lactam antibacterials, penicillins",11.004,0.4596527620554575
2009,Belgium,J01D,Other beta-lactam antibacterials,2.191,0.0915139988755118
2009,Belgium,J01E,Sulfonamides and trimethoprim,0.0,0.0
2009,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.04,0.1269490362902249
2009,Belgium,J01G,Aminoglycoside antibacterials,0.059,0.0024628463586549
2009,Belgium,J01M,Quinolone antibacterials,2.85,0.1190372676774808
2009,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2009,Belgium,J01X,Other antibacterials,2.61,0.1090189634157039
2010,Belgium,J01A,Tetracyclines,2.124,0.0864032789087674
2010,Belgium,J01B,Amphenicols,0.035,0.0013894170840159
2010,Belgium,J01C,"Beta-lactam antibacterials, penicillins",11.804,0.480262762535808
2010,Belgium,J01D,Other beta-lactam antibacterials,1.962,0.0798059788022044
2010,Belgium,J01E,Sulfonamides and trimethoprim,0.0,0.0
2010,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.02,0.1228377911193753
2010,Belgium,J01G,Aminoglycoside antibacterials,0.048,0.001912406547776
2010,Belgium,J01M,Quinolone antibacterials,2.933,0.1193272843570694
2010,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2010,Belgium,J01X,Other antibacterials,2.656,0.1080610806449834
2011,Belgium,J01A,Tetracyclines,2.11,0.0842736887042199
2011,Belgium,J01B,Amphenicols,0.033,0.0013157050381737
2011,Belgium,J01C,"Beta-lactam antibacterials, penicillins",11.963,0.4779708110709419
2011,Belgium,J01D,Other beta-lactam antibacterials,1.889,0.0754395492911103
2011,Belgium,J01E,Sulfonamides and trimethoprim,0.0,0.0
2011,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.274,0.1307976949269677
2011,Belgium,J01G,Aminoglycoside antibacterials,0.044,0.0017368920767849
2011,Belgium,J01M,Quinolone antibacterials,2.973,0.1187682318926933
2011,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2011,Belgium,J01X,Other antibacterials,2.746,0.1096974269991081
2012,Belgium,J01A,Tetracyclines,2.128,0.0829716013111545
2012,Belgium,J01B,Amphenicols,0.034,0.0012876532898065
2012,Belgium,J01C,"Beta-lactam antibacterials, penicillins",12.248,0.4776643809329034
2012,Belgium,J01D,Other beta-lactam antibacterials,1.911,0.0745125261010406
2012,Belgium,J01E,Sulfonamides and trimethoprim,0.0,0.0
2012,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.497,0.1363640316788371
2012,Belgium,J01G,Aminoglycoside antibacterials,0.048,0.0018648489371741
2012,Belgium,J01M,Quinolone antibacterials,3.0,0.1169713889187562
2012,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2012,Belgium,J01X,Other antibacterials,2.779,0.1083635688303275
2013,Belgium,J01A,Tetracyclines,2.178,0.0909488690942344
2013,Belgium,J01B,Amphenicols,0.033,0.0013597152029284
2013,Belgium,J01C,"Beta-lactam antibacterials, penicillins",10.614,0.4433248848392111
2013,Belgium,J01D,Other beta-lactam antibacterials,1.918,0.0801026434390723
2013,Belgium,J01E,Sulfonamides and trimethoprim,0.0,0.0
2013,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.443,0.1438057037945374
2013,Belgium,J01G,Aminoglycoside antibacterials,0.051,0.0021003299474192
2013,Belgium,J01M,Quinolone antibacterials,2.856,0.11929933417356
2013,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2013,Belgium,J01X,Other antibacterials,2.851,0.1190585195090372
2014,Belgium,J01A,Tetracyclines,2.117,0.0889151273058272
2014,Belgium,J01B,Amphenicols,0.029,0.00118627445667
2014,Belgium,J01C,"Beta-lactam antibacterials, penicillins",10.655,0.4476311461156464
2014,Belgium,J01D,Other beta-lactam antibacterials,1.804,0.0757632608582491
2014,Belgium,J01E,Sulfonamides and trimethoprim,0.0,0.0
2014,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.498,0.1469590541633271
2014,Belgium,J01G,Aminoglycoside antibacterials,0.043,0.0017849993922843
2014,Belgium,J01M,Quinolone antibacterials,2.761,0.1159799647503898
2014,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2014,Belgium,J01X,Other antibacterials,2.899,0.1217801729576058
2015,Belgium,J01A,Tetracyclines,2.052,0.0848108163982551
2015,Belgium,J01B,Amphenicols,0.028,0.0011305947778627
2015,Belgium,J01C,"Beta-lactam antibacterials, penicillins",10.848,0.4484952967687251
2015,Belgium,J01D,Other beta-lactam antibacterials,1.827,0.0755019743234582
2015,Belgium,J01E,Sulfonamides and trimethoprim,0.0,0.0
2015,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.742,0.1546990138719481
2015,Belgium,J01G,Aminoglycoside antibacterials,0.04,0.0016518988650224
2015,Belgium,J01M,Quinolone antibacterials,2.781,0.1149719046536148
2015,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2015,Belgium,J01X,Other antibacterials,2.872,0.1187385003411135
2016,Belgium,J01A,Tetracyclines,2.012,0.0831881944767607
2016,Belgium,J01B,Amphenicols,0.019,0.0007603683538347
2016,Belgium,J01C,"Beta-lactam antibacterials, penicillins",10.96,0.453327997269921
2016,Belgium,J01D,Other beta-lactam antibacterials,1.694,0.0700465457779432
2016,Belgium,J01E,Sulfonamides and trimethoprim,0.241,0.0099656154828568
2016,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.729,0.154237341068557
2016,Belgium,J01G,Aminoglycoside antibacterials,0.038,0.0015350903046002
2016,Belgium,J01M,Quinolone antibacterials,2.604,0.1077076954100547
2016,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2016,Belgium,J01X,Other antibacterials,2.883,0.1192311518554713
2017,Belgium,J01A,Tetracyclines,1.933,0.0849065095856137
2017,Belgium,J01B,Amphenicols,0.018,0.000778909229222
2017,Belgium,J01C,"Beta-lactam antibacterials, penicillins",10.483,0.4604950901700557
2017,Belgium,J01D,Other beta-lactam antibacterials,1.544,0.06782629981521
2017,Belgium,J01E,Sulfonamides and trimethoprim,0.223,0.0097845145201113
2017,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.526,0.1548870886943017
2017,Belgium,J01G,Aminoglycoside antibacterials,0.036,0.0015533813556719
2017,Belgium,J01M,Quinolone antibacterials,2.362,0.1037253168036465
2017,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2017,Belgium,J01X,Other antibacterials,2.642,0.116042889826167
2018,Belgium,J01A,Tetracyclines,1.89,0.0847307007068638
2018,Belgium,J01B,Amphenicols,0.017,0.0007527833071972
2018,Belgium,J01C,"Beta-lactam antibacterials, penicillins",10.859,0.4869255077711076
2018,Belgium,J01D,Other beta-lactam antibacterials,1.622,0.0726969301669827
2018,Belgium,J01E,Sulfonamides and trimethoprim,0.25,0.0111662334063231
2018,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.673,0.1646894090603953
2018,Belgium,J01G,Aminoglycoside antibacterials,0.034,0.0014887952462588
2018,Belgium,J01M,Quinolone antibacterials,1.333,0.0597545460945806
2018,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2018,Belgium,J01X,Other antibacterials,2.627,0.1177950942402907
2019,Belgium,J01A,Tetracyclines,1.878,0.0878832145619661
2019,Belgium,J01B,Amphenicols,0.017,0.0007561893522848
2019,Belgium,J01C,"Beta-lactam antibacterials, penicillins",10.532,0.4928753091587362
2019,Belgium,J01D,Other beta-lactam antibacterials,1.576,0.0737306614330887
2019,Belgium,J01E,Sulfonamides and trimethoprim,0.259,0.0121169071172216
2019,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.621,0.1694326530031546
2019,Belgium,J01G,Aminoglycoside antibacterials,0.034,0.0015776642687754
2019,Belgium,J01M,Quinolone antibacterials,0.731,0.0341829130222189
2019,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2019,Belgium,J01X,Other antibacterials,2.724,0.1274444880825531
2020,Belgium,J01A,Tetracyclines,1.645,0.0987248234508326
2020,Belgium,J01B,Amphenicols,0.011,0.0006302186132728
2020,Belgium,J01C,"Beta-lactam antibacterials, penicillins",7.613,0.4570196249127573
2020,Belgium,J01D,Other beta-lactam antibacterials,1.133,0.0680172008795563
2020,Belgium,J01E,Sulfonamides and trimethoprim,0.265,0.0158550082927451
2020,Belgium,J01F,"Macrolides, lincosamides and streptogramins",2.754,0.1653350344092639
2020,Belgium,J01G,Aminoglycoside antibacterials,0.032,0.001891916637273
2020,Belgium,J01M,Quinolone antibacterials,0.595,0.0356761851871308
2020,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2020,Belgium,J01X,Other antibacterials,2.613,0.1568499876171679
2021,Belgium,J01A,Tetracyclines,1.825,0.1047145028010987
2021,Belgium,J01B,Amphenicols,0.011,0.0005748315822663
2021,Belgium,J01C,"Beta-lactam antibacterials, penicillins",8.155,0.4680164419279492
2021,Belgium,J01D,Other beta-lactam antibacterials,1.144,0.0656009899775221
2021,Belgium,J01E,Sulfonamides and trimethoprim,0.284,0.0162708443883386
2021,Belgium,J01F,"Macrolides, lincosamides and streptogramins",2.749,0.1577618275787618
2021,Belgium,J01G,Aminoglycoside antibacterials,0.031,0.0017533625868431
2021,Belgium,J01M,Quinolone antibacterials,0.581,0.0333074613208247
2021,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2021,Belgium,J01X,Other antibacterials,2.649,0.151999737836395
2022,Belgium,J01A,Tetracyclines,1.74,0.0849138627786993
2022,Belgium,J01B,Amphenicols,0.014,0.0006356504092646
2022,Belgium,J01C,"Beta-lactam antibacterials, penicillins",10.341,0.5048240349281601
2022,Belgium,J01D,Other beta-lactam antibacterials,1.303,0.0636031213657286
2022,Belgium,J01E,Sulfonamides and trimethoprim,0.3,0.01461663957992
2022,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.47,0.1693829655552175
2022,Belgium,J01G,Aminoglycoside antibacterials,0.029,0.0014108802747572
2022,Belgium,J01M,Quinolone antibacterials,0.614,0.0299366932225654
2022,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2022,Belgium,J01X,Other antibacterials,2.677,0.1306761518856872
2023,Belgium,J01A,Tetracyclines,1.804,0.0873161458078878
2023,Belgium,J01B,Amphenicols,0.015,0.0006786473554953
2023,Belgium,J01C,"Beta-lactam antibacterials, penicillins",10.641,0.5152024318971616
2023,Belgium,J01D,Other beta-lactam antibacterials,1.177,0.0569490976231993
2023,Belgium,J01E,Sulfonamides and trimethoprim,0.33,0.0159735846588124
2023,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.715,0.1798747165463435
2023,Belgium,J01G,Aminoglycoside antibacterials,0.026,0.0012337282119022
2023,Belgium,J01M,Quinolone antibacterials,0.607,0.0293657334506956
2023,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2023,Belgium,J01X,Other antibacterials,2.343,0.1134059144485019
2024,Belgium,J01A,Tetracyclines,1.901,0.089985429247292
2024,Belgium,J01B,Amphenicols,0.014,0.0006612137130213
2024,Belgium,J01C,"Beta-lactam antibacterials, penicillins",9.962,0.4716304471539404
2024,Belgium,J01D,Other beta-lactam antibacterials,1.085,0.0513591099682772
2024,Belgium,J01E,Sulfonamides and trimethoprim,0.334,0.0157697529429833
2024,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.793,0.1795748214969166
2024,Belgium,J01G,Aminoglycoside antibacterials,0.024,0.0011300665986041
2024,Belgium,J01M,Quinolone antibacterials,1.301,0.0615851498009351
2024,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2024,Belgium,J01X,Other antibacterials,2.711,0.1283040090780297
2000,Bulgaria,J01A,Tetracyclines,3.26,0.1610635312338454
2000,Bulgaria,J01B,Amphenicols,0.183,0.0090423892383906
2000,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",8.693,0.4294920934435563
2000,Bulgaria,J01D,Other beta-lactam antibacterials,2.526,0.124804785686975
2000,Bulgaria,J01E,Sulfonamides and trimethoprim,1.133,0.0559488692912259
2000,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",0.721,0.0356047288039231
2000,Bulgaria,J01G,Aminoglycoside antibacterials,2.117,0.1045944527956152
2000,Bulgaria,J01M,Quinolone antibacterials,1.236,0.0610671086599702
2000,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2000,Bulgaria,J01X,Other antibacterials,0.373,0.018382040846498
2001,Bulgaria,J01A,Tetracyclines,3.637,0.1604759828339529
2001,Bulgaria,J01B,Amphenicols,0.148,0.0064960267759761
2001,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",10.968,0.4840032880393134
2001,Bulgaria,J01D,Other beta-lactam antibacterials,2.503,0.1104502837184994
2001,Bulgaria,J01E,Sulfonamides and trimethoprim,1.306,0.0575969978878932
2001,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",0.605,0.0266877160964193
2001,Bulgaria,J01G,Aminoglycoside antibacterials,1.549,0.0683145903589239
2001,Bulgaria,J01M,Quinolone antibacterials,1.603,0.0707306646646937
2001,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2001,Bulgaria,J01X,Other antibacterials,0.346,0.0152444496243277
2002,Bulgaria,J01A,Tetracyclines,2.798,0.1618198219917407
2002,Bulgaria,J01B,Amphenicols,0.111,0.0063799712134606
2002,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",8.517,0.4926050267933225
2002,Bulgaria,J01D,Other beta-lactam antibacterials,1.426,0.0824759107658927
2002,Bulgaria,J01E,Sulfonamides and trimethoprim,0.943,0.0545199170136961
2002,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",0.743,0.04294896370078
2002,Bulgaria,J01G,Aminoglycoside antibacterials,1.361,0.0787059198886482
2002,Bulgaria,J01M,Quinolone antibacterials,1.347,0.0778938835891969
2002,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2002,Bulgaria,J01X,Other antibacterials,0.046,0.0026505850432619
2003,Bulgaria,J01A,Tetracyclines,3.067,0.1973842932732442
2003,Bulgaria,J01B,Amphenicols,0.081,0.0051971080478679
2003,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",6.666,0.4289943753294574
2003,Bulgaria,J01D,Other beta-lactam antibacterials,1.433,0.0921859623309911
2003,Bulgaria,J01E,Sulfonamides and trimethoprim,1.077,0.0692665401292792
2003,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",1.436,0.0923645049112082
2003,Bulgaria,J01G,Aminoglycoside antibacterials,1.207,0.0776555312478478
2003,Bulgaria,J01M,Quinolone antibacterials,0.439,0.0281994296163136
2003,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2003,Bulgaria,J01X,Other antibacterials,0.136,0.0087522551137903
2004,Bulgaria,J01A,Tetracyclines,2.838,0.1726346387546058
2004,Bulgaria,J01B,Amphenicols,0.081,0.0048801210275368
2004,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",7.727,0.4700177248789262
2004,Bulgaria,J01D,Other beta-lactam antibacterials,1.686,0.1025437415652304
2004,Bulgaria,J01E,Sulfonamides and trimethoprim,0.973,0.0591716271506989
2004,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",1.018,0.0619166838221302
2004,Bulgaria,J01G,Aminoglycoside antibacterials,0.392,0.0237906128223584
2004,Bulgaria,J01M,Quinolone antibacterials,1.606,0.0976636205376935
2004,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2004,Bulgaria,J01X,Other antibacterials,0.122,0.0073812294408194
2005,Bulgaria,J01A,Tetracyclines,2.611,0.1678412824825602
2005,Bulgaria,J01B,Amphenicols,0.081,0.0051847742939204
2005,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",5.691,0.3658642191740587
2005,Bulgaria,J01D,Other beta-lactam antibacterials,2.077,0.1334999650537622
