country,country_code,year,pathogen_drug,resistance_pct
Austria,AT,2001,E.coli-3rd_gen_cephalosporins,0.0
Austria,AT,2002,E.coli-3rd_gen_cephalosporins,1.25786163
Austria,AT,2003,E.coli-3rd_gen_cephalosporins,1.84237461
Austria,AT,2004,E.coli-3rd_gen_cephalosporins,2.53232758
Austria,AT,2005,E.coli-3rd_gen_cephalosporins,4.20332355
Austria,AT,2006,E.coli-3rd_gen_cephalosporins,6.59651962
Austria,AT,2007,E.coli-3rd_gen_cephalosporins,8.87128712
Austria,AT,2008,E.coli-3rd_gen_cephalosporins,7.41239892
Austria,AT,2009,E.coli-3rd_gen_cephalosporins,7.54716981
Austria,AT,2010,E.coli-3rd_gen_cephalosporins,7.25530458
Austria,AT,2011,E.coli-3rd_gen_cephalosporins,9.14556962
Austria,AT,2012,E.coli-3rd_gen_cephalosporins,8.6522911
Austria,AT,2013,E.coli-3rd_gen_cephalosporins,9.84917733
Austria,AT,2014,E.coli-3rd_gen_cephalosporins,9.3690652
Austria,AT,2015,E.coli-3rd_gen_cephalosporins,9.67346938
Austria,AT,2016,E.coli-3rd_gen_cephalosporins,10.00569584
Austria,AT,2017,E.coli-3rd_gen_cephalosporins,9.63150711
Austria,AT,2018,E.coli-3rd_gen_cephalosporins,10.20803949
Austria,AT,2019,E.coli-3rd_gen_cephalosporins,9.31870291
Austria,AT,2020,E.coli-3rd_gen_cephalosporins,9.46800595
Austria,AT,2021,E.coli-3rd_gen_cephalosporins,8.28968755
Austria,AT,2022,E.coli-3rd_gen_cephalosporins,8.32025117
Austria,AT,2023,E.coli-3rd_gen_cephalosporins,9.85248588
Austria,AT,2024,E.coli-3rd_gen_cephalosporins,10.55105348
Belgium,BE,2001,E.coli-3rd_gen_cephalosporins,1.8018018
Belgium,BE,2002,E.coli-3rd_gen_cephalosporins,2.79424216
Belgium,BE,2003,E.coli-3rd_gen_cephalosporins,3.49544072
Belgium,BE,2004,E.coli-3rd_gen_cephalosporins,2.64650283
Belgium,BE,2005,E.coli-3rd_gen_cephalosporins,3.61445783
Belgium,BE,2006,E.coli-3rd_gen_cephalosporins,2.91021671
Belgium,BE,2007,E.coli-3rd_gen_cephalosporins,3.92832529
Belgium,BE,2008,E.coli-3rd_gen_cephalosporins,4.18736692
Belgium,BE,2009,E.coli-3rd_gen_cephalosporins,6.45363408
Belgium,BE,2010,E.coli-3rd_gen_cephalosporins,5.17418032
Belgium,BE,2011,E.coli-3rd_gen_cephalosporins,6.04767879
Belgium,BE,2012,E.coli-3rd_gen_cephalosporins,6.88308518
Belgium,BE,2013,E.coli-3rd_gen_cephalosporins,7.99802517
Belgium,BE,2014,E.coli-3rd_gen_cephalosporins,9.74304068
Belgium,BE,2015,E.coli-3rd_gen_cephalosporins,9.67990744
Belgium,BE,2016,E.coli-3rd_gen_cephalosporins,10.48969761
Belgium,BE,2017,E.coli-3rd_gen_cephalosporins,9.73886986
Belgium,BE,2018,E.coli-3rd_gen_cephalosporins,9.02239448
Belgium,BE,2019,E.coli-3rd_gen_cephalosporins,9.98221996
Belgium,BE,2020,E.coli-3rd_gen_cephalosporins,9.88425925
Belgium,BE,2021,E.coli-3rd_gen_cephalosporins,8.26096166
Belgium,BE,2022,E.coli-3rd_gen_cephalosporins,8.75555555
Belgium,BE,2023,E.coli-3rd_gen_cephalosporins,10.08878127
Belgium,BE,2024,E.coli-3rd_gen_cephalosporins,11.91865938
Bulgaria,BG,2001,E.coli-3rd_gen_cephalosporins,6.66666666
Bulgaria,BG,2002,E.coli-3rd_gen_cephalosporins,13.33333333
Bulgaria,BG,2003,E.coli-3rd_gen_cephalosporins,18.35443037
Bulgaria,BG,2004,E.coli-3rd_gen_cephalosporins,21.55688622
Bulgaria,BG,2005,E.coli-3rd_gen_cephalosporins,28.07881773
Bulgaria,BG,2006,E.coli-3rd_gen_cephalosporins,28.57142857
Bulgaria,BG,2007,E.coli-3rd_gen_cephalosporins,22.83464566
Bulgaria,BG,2008,E.coli-3rd_gen_cephalosporins,29.25170068
Bulgaria,BG,2009,E.coli-3rd_gen_cephalosporins,19.17098445
Bulgaria,BG,2010,E.coli-3rd_gen_cephalosporins,24.8366013
Bulgaria,BG,2011,E.coli-3rd_gen_cephalosporins,22.90502793
Bulgaria,BG,2012,E.coli-3rd_gen_cephalosporins,38.11659192
Bulgaria,BG,2013,E.coli-3rd_gen_cephalosporins,39.57219251
Bulgaria,BG,2014,E.coli-3rd_gen_cephalosporins,40.36697247
Bulgaria,BG,2015,E.coli-3rd_gen_cephalosporins,38.53658536
Bulgaria,BG,2016,E.coli-3rd_gen_cephalosporins,41.59663865
Bulgaria,BG,2017,E.coli-3rd_gen_cephalosporins,41.29554655
Bulgaria,BG,2018,E.coli-3rd_gen_cephalosporins,38.69863013
Bulgaria,BG,2019,E.coli-3rd_gen_cephalosporins,38.63636363
Bulgaria,BG,2020,E.coli-3rd_gen_cephalosporins,41.37931034
Bulgaria,BG,2021,E.coli-3rd_gen_cephalosporins,37.26235741
Bulgaria,BG,2022,E.coli-3rd_gen_cephalosporins,40.16736401
Bulgaria,BG,2023,E.coli-3rd_gen_cephalosporins,37.25490196
Bulgaria,BG,2024,E.coli-3rd_gen_cephalosporins,34.52380952
Croatia,HR,2001,E.coli-3rd_gen_cephalosporins,1.64835164
Croatia,HR,2002,E.coli-3rd_gen_cephalosporins,2.85714285
Croatia,HR,2003,E.coli-3rd_gen_cephalosporins,4.38596491
Croatia,HR,2004,E.coli-3rd_gen_cephalosporins,2.61682242
Croatia,HR,2005,E.coli-3rd_gen_cephalosporins,0.78492935
Croatia,HR,2006,E.coli-3rd_gen_cephalosporins,1.41570141
Croatia,HR,2007,E.coli-3rd_gen_cephalosporins,2.6744186
Croatia,HR,2008,E.coli-3rd_gen_cephalosporins,3.82932166
Croatia,HR,2010,E.coli-3rd_gen_cephalosporins,8.73015873
Croatia,HR,2011,E.coli-3rd_gen_cephalosporins,9.56256358
Croatia,HR,2012,E.coli-3rd_gen_cephalosporins,7.61589403
Croatia,HR,2013,E.coli-3rd_gen_cephalosporins,8.75
Croatia,HR,2014,E.coli-3rd_gen_cephalosporins,10.84337349
Croatia,HR,2015,E.coli-3rd_gen_cephalosporins,12.52390057
Croatia,HR,2016,E.coli-3rd_gen_cephalosporins,14.7368421
Croatia,HR,2017,E.coli-3rd_gen_cephalosporins,16.46341463
Croatia,HR,2018,E.coli-3rd_gen_cephalosporins,14.81164383
Croatia,HR,2019,E.coli-3rd_gen_cephalosporins,15.94470046
Croatia,HR,2020,E.coli-3rd_gen_cephalosporins,16.56590084
Croatia,HR,2021,E.coli-3rd_gen_cephalosporins,18.59504132
Croatia,HR,2022,E.coli-3rd_gen_cephalosporins,17.42654508
Croatia,HR,2023,E.coli-3rd_gen_cephalosporins,20.01527883
Croatia,HR,2024,E.coli-3rd_gen_cephalosporins,19.39451277
Cyprus,CY,2003,E.coli-3rd_gen_cephalosporins,
Cyprus,CY,2004,E.coli-3rd_gen_cephalosporins,8.69565217
Cyprus,CY,2005,E.coli-3rd_gen_cephalosporins,16.0
Cyprus,CY,2006,E.coli-3rd_gen_cephalosporins,15.55555555
Cyprus,CY,2007,E.coli-3rd_gen_cephalosporins,18.34862385
Cyprus,CY,2008,E.coli-3rd_gen_cephalosporins,19.32773109
Cyprus,CY,2009,E.coli-3rd_gen_cephalosporins,13.97058823
Cyprus,CY,2010,E.coli-3rd_gen_cephalosporins,20.14388489
Cyprus,CY,2011,E.coli-3rd_gen_cephalosporins,36.23188405
