country_code,year,pathogen_drug,resistance_pct,ddd_J01A,ddd_J01B,ddd_J01C,ddd_J01D,ddd_J01E,ddd_J01F,ddd_J01G,ddd_J01M,ddd_J01R,ddd_J01X,ddd_total,hdd,cdd,pop_density
AT,2001,E.coli-3rd_gen_cephalosporins,0.0,,,,,,,,,,,,,,97.5
AT,2002,E.coli-3rd_gen_cephalosporins,1.25786163,,,,,,,,,,,,,,98.0
AT,2003,E.coli-3rd_gen_cephalosporins,1.84237461,,,,,,,,,,,,,,98.5
AT,2004,E.coli-3rd_gen_cephalosporins,2.53232758,,,,,,,,,,,,,,99.1
AT,2005,E.coli-3rd_gen_cephalosporins,4.20332355,,,,,,,,,,,,,,99.8
AT,2006,E.coli-3rd_gen_cephalosporins,6.59651962,,,,,,,,,,,,,,100.3
AT,2007,E.coli-3rd_gen_cephalosporins,8.87128712,,,,,,,,,,,,,,100.6
AT,2008,E.coli-3rd_gen_cephalosporins,7.41239892,,,,,,,,,,,,,,100.9
AT,2009,E.coli-3rd_gen_cephalosporins,7.54716981,,,,,,,,,,,,,,101.2
AT,2010,E.coli-3rd_gen_cephalosporins,7.25530458,,,,,,,,,,,,,,101.5
AT,2011,E.coli-3rd_gen_cephalosporins,9.14556962,,,,,,,,,,,,,,101.8
AT,2012,E.coli-3rd_gen_cephalosporins,8.6522911,,,,,,,,,,,,,,102.3
AT,2013,E.coli-3rd_gen_cephalosporins,9.84917733,,,,,,,,,,,,,,102.9
AT,2014,E.coli-3rd_gen_cephalosporins,9.3690652,,,,,,,,,,,,,,103.7
AT,2015,E.coli-3rd_gen_cephalosporins,9.67346938,,,,,,,,,,,,,,104.9
AT,2016,E.coli-3rd_gen_cephalosporins,10.00569584,,,,,,,,,,,,3480.26,12.26,106.0
AT,2017,E.coli-3rd_gen_cephalosporins,9.63150711,,,,,,,,,,,,3559.94,34.86,106.8
AT,2018,E.coli-3rd_gen_cephalosporins,10.20803949,,,,,,,,,,,,3251.71,32.12,107.1
AT,2019,E.coli-3rd_gen_cephalosporins,9.31870291,,,,,,,,,,,,3334.77,39.63,107.6
AT,2020,E.coli-3rd_gen_cephalosporins,9.46800595,,,,,,,,,,,,3370.17,9.8,107.6
AT,2021,E.coli-3rd_gen_cephalosporins,8.28968755,,,,,,,,,,,,3688.56,23.21,108.1
AT,2022,E.coli-3rd_gen_cephalosporins,8.32025117,,,,,,,,,,,,3283.96,28.98,109.6
AT,2023,E.coli-3rd_gen_cephalosporins,9.85248588,,,,,,,,,,,,3208.85,36.81,110.7
AT,2024,E.coli-3rd_gen_cephalosporins,10.55105348,,,,,,,,,,,,3087.92,55.62,111.3
BE,2001,E.coli-3rd_gen_cephalosporins,1.8018018,2.971,0.036,7.226,3.64,0.522,3.447,0.085,2.881,0.0,1.874,22.682,,,339.2
BE,2002,E.coli-3rd_gen_cephalosporins,2.79424216,2.665,0.031,7.415,3.83,0.473,3.338,0.083,2.954,0.0,1.896,22.685000000000002,,,340.7
BE,2003,E.coli-3rd_gen_cephalosporins,3.49544072,2.322,0.03,7.976,3.719,0.42,3.108,0.088,3.009,0.0,1.907,22.579,,,342.1
BE,2004,E.coli-3rd_gen_cephalosporins,2.64650283,2.077,0.025,8.07,3.539,0.385,2.427,0.084,2.718,0.0,1.959,21.284000000000002,,,343.6
BE,2005,E.coli-3rd_gen_cephalosporins,3.61445783,1.973,0.026,8.811,3.44,0.376,2.605,0.077,2.724,0.0,2.131,22.163,,,345.5
BE,2006,E.coli-3rd_gen_cephalosporins,2.91021671,0.021,0.002,0.742,0.377,0.001,0.094,0.058,0.254,0.0,0.142,1.6909999999999998,,,347.8
BE,2007,E.coli-3rd_gen_cephalosporins,3.92832529,1.973,0.024,9.88,2.722,0.001,2.723,0.058,2.512,0.0,2.339,22.232,,,350.4
BE,2008,E.coli-3rd_gen_cephalosporins,4.18736692,2.213,0.021,11.155,2.353,0.001,2.897,0.049,2.632,0.0,2.475,23.796,,,353.1
BE,2009,E.coli-3rd_gen_cephalosporins,6.45363408,2.164,0.024,11.004,2.191,0.0,3.04,0.059,2.85,0.0,2.61,23.942,,,356.0
BE,2010,E.coli-3rd_gen_cephalosporins,5.17418032,2.124,0.035,11.804,1.962,0.0,3.02,0.048,2.933,0.0,2.656,24.582,,,359.5
BE,2011,E.coli-3rd_gen_cephalosporins,6.04767879,2.11,0.033,11.963,1.889,0.0,3.274,0.044,2.973,0.0,2.746,25.031999999999996,,,364.3
BE,2012,E.coli-3rd_gen_cephalosporins,6.88308518,2.128,0.034,12.248,1.911,0.0,3.497,0.048,3.0,0.0,2.779,25.645,,,366.3
BE,2013,E.coli-3rd_gen_cephalosporins,7.99802517,2.178,0.033,10.614,1.918,0.0,3.443,0.051,2.856,0.0,2.851,23.944,,,368.0
BE,2014,E.coli-3rd_gen_cephalosporins,9.74304068,2.117,0.029,10.655,1.804,0.0,3.498,0.043,2.761,0.0,2.899,23.806,,,369.6
BE,2015,E.coli-3rd_gen_cephalosporins,9.67990744,2.052,0.028,10.848,1.827,0.0,3.742,0.04,2.781,0.0,2.872,24.19,,,371.8
BE,2016,E.coli-3rd_gen_cephalosporins,10.48969761,2.012,0.019,10.96,1.694,0.241,3.729,0.038,2.604,0.0,2.883,24.18,2723.56,23.22,373.7
BE,2017,E.coli-3rd_gen_cephalosporins,9.73886986,1.933,0.018,10.483,1.544,0.223,3.526,0.036,2.362,0.0,2.642,22.767,2620.02,15.26,373.6
BE,2018,E.coli-3rd_gen_cephalosporins,9.02239448,1.89,0.017,10.859,1.622,0.25,3.673,0.034,1.333,0.0,2.627,22.305,2544.33,34.27,375.3
BE,2019,E.coli-3rd_gen_cephalosporins,9.98221996,1.878,0.017,10.532,1.576,0.259,3.621,0.034,0.731,0.0,2.724,21.372,2570.53,37.7,377.3
BE,2020,E.coli-3rd_gen_cephalosporins,9.88425925,1.645,0.011,7.613,1.133,0.265,2.754,0.032,0.595,0.0,2.613,16.661,2382.39,48.74,377.3
BE,2021,E.coli-3rd_gen_cephalosporins,8.26096166,1.825,0.011,8.155,1.144,0.284,2.749,0.031,0.581,0.0,2.649,17.429,2782.1,4.18,378.9
BE,2022,E.coli-3rd_gen_cephalosporins,8.75555555,1.74,0.014,10.341,1.303,0.3,3.47,0.029,0.614,0.0,2.677,20.488,2400.32,24.85,383.6
BE,2023,E.coli-3rd_gen_cephalosporins,10.08878127,1.804,0.015,10.641,1.177,0.33,3.715,0.026,0.607,0.0,2.343,20.658,2376.92,11.07,386.8
BE,2024,E.coli-3rd_gen_cephalosporins,11.91865938,1.901,0.014,9.962,1.085,0.334,3.793,0.024,1.301,0.0,2.711,21.125,2396.73,12.26,389.1
BG,2001,E.coli-3rd_gen_cephalosporins,6.66666666,3.637,0.148,10.968,2.503,1.306,0.605,1.549,1.603,0.0,0.346,22.665000000000003,,,72.3
BG,2002,E.coli-3rd_gen_cephalosporins,13.33333333,2.798,0.111,8.517,1.426,0.943,0.743,1.361,1.347,0.0,0.046,17.292,,,70.6
BG,2003,E.coli-3rd_gen_cephalosporins,18.35443037,3.067,0.081,6.666,1.433,1.077,1.436,1.207,0.439,0.0,0.136,15.541999999999998,,,70.0
